IncidentType,Location,ReportedTime,IncidentStart,IncidentEnd,CaseNumber,Disposition
BREAKING AND ENTERING,MIAMI UNIVERSITY : OXFORD CAMPUS : PSYCHOLOGY BLDG,9/3/2013 1039,8/30/2013 0930,8/30/2013 1430,2013-000936,CLOSED
BREAKING AND ENTERING,MIAMI UNIVERSITY : OXFORD CAMPUS : PSYCHOLOGY BLDG,9/3/2013 1737,9/3/2013 1500,9/3/2013 1730,2013-000938,CLOSED
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,9/3/2013 2327,9/3/2013 2327,9/4/2013 2327,2013-000940,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,9/3/2013 2327,9/3/2013 2327,9/4/2013 2327,2013-000940,CLOSED.  CLEARED BY SUMMONS
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : CLAWSON HALL,9/3/2013 2328,9/3/2013 2330,9/3/2013 2330,2013-000944,CLOSED.  CLEARED BY SUMMONS
SEX OFFENSE : SEXUAL IMPOSITION,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,9/3/2013 2357,8/30/2013 1630,8/30/2013 1645,2013-000941,CLOSED.  REFERRED TO OESCR
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : MIAMI INN,9/4/2013 0225,9/4/2013 0255,9/4/2013 0255,2013-000943,CLOSED.  CLEARED BY ARREST
SEX OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS : NON CAMPUS PROPERTY : FRATERNITIES,9/6/2013 1240,8/31/2013 1120,8/31/2013 1120,2013-000951,CLOSED. REFERRED TO OTHER LE AGENCY
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,CITY OF OXFORD : SPRING ST,9/7/2013 0022,9/7/2013 0022,9/7/2013 0022,2013-000956,CLOSED.  CLEARED BY SUMMONS
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : MARY LYON HALL,9/7/2013 0115,9/7/2013 0115,9/7/2013 0115,2013-000957,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,9/7/2013 0203,9/7/2013 0203,9/7/2013 0203,2013-000960,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,9/7/2013 0203,9/7/2013 0203,9/7/2013 0203,2013-000960,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : IRVIN HALL,9/7/2013 0250,9/7/2013 0250,9/7/2013 0250,2013-000962,CLOSED.  CLEARED BY ARREST
OBSTRUCTING OFFICIAL BUSINESS,MIAMI UNIVERSITY : OXFORD CAMPUS : IRVIN HALL,9/7/2013 0250,9/7/2013 0250,9/7/2013 0250,2013-000962,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,CITY OF OXFORD : MAPLE ST,9/7/2013 2316,9/7/2013 2316,9/7/2013 2316,2013-000969,CLOSED.  CLEARED BY ARREST
TRAFFIC LAW VIOLATION : OPERATING A VEHICLE UNDER THE INFLUENCE,CITY OF OXFORD : MAPLE ST,9/7/2013 2316,9/7/2013 2316,9/7/2013 2316,2013-000969,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,9/8/2013 0025,9/8/2013 0025,9/8/2013 0025,2013-000970,CLOSED.  CLEARED BY SUMMONS
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,9/8/2013 0025,9/8/2013 0025,9/8/2013 0025,2013-000970,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,9/8/2013 1622,9/8/2013 1622,9/8/2013 1622,2013-000972,CLOSED.  CLEARED BY SUMMONS
